Title,Price,Area,Location,Listing ID,Last Updated,Property Type,Width,Length,Bedrooms,Bathrooms,Floors,Position,Direction,Alley Width,Road Type,Description,Latitude,Longitude,VIP Account,Avatar,Agent Role,Agent Name,Agent Listing Count,Province,Property Type Slug,Scraped At,Last Updated Date
"Bán đất MT HUỲNH VĂN LŨY 1045.9m² ngang 14,2m giá 35.5 tỷ Phường Bình Dương 0815422197",35500.0,1045.9,"Phường Bình Dương,TP. Hồ Chí Minh(Mới)",1364899.0,6 giờ trước,Đất,14.0,61.0,,,,Đường chính,,,Đường nhựa,"💥 SIÊU VỊ TRÍ – MẶT TIỀN HUỲNH VĂN LŨY – PHÚ MỸ, TDM 💥🎯 Đất mặt tiền – diện tích khủng – giá siêu hợp lý📌 Diện tích lớn: 14.2 x 61m – nở hậu 18.8m📐 Tổng 1.046m² – có 160m² thổ cư💸 Giá chỉ: 34 triệu/m²👉 Tổng giá: ~35,5 tỷ – Giá này đầu tư cực kỳ hợp lý tại mặt tiền Huỳnh Văn Lũy!🚗 Đường nhựa lớn – xe tải, xe container chạy thoải mái🏗 Phù hợp xây biệt thự sân vườn, kho xưởng, nhà hàng, showroom...📞 Gọi ngay: 0815.422.197 – Kim Phú BĐS📎 Pháp lý chuẩn – hỗ trợ quy hoạch, xây dựng, sang tên nhanh chóng#KimPhuBDS #DatMatTien #HuynhVanLuy #ThuDauMot #DauTuSinhLoi",11.035174808265,106.6816646579,False,1,Môi giới,Kim Phú Bds,889.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:25:18,30/09/2025 13:25
Bán đất 133m² ngang 5m giá 1.23 tỷ Phường Tân Thành,1230.0,133.0,"Phường Tân Thành,TP. Hồ Chí Minh(Mới)",1383263.0,1 ngày trước,Đất,5.0,,,,,,,,,,10.623077927764,107.11966727654,False,0,Môi giới,Kiet,339.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:04:14,29/09/2025 19:04
"Bán gấp kho, 6,5x37 nhà xưởng tại an dương vương, q8, hcm giá 18.x tỷ",18000.0,250.0,"Đường An Dương Vương,Phường 16,Quận 8,TP. Hồ Chí Minh",1414709.0,1 tháng trước,"Kho, nhà xưởng",,,,,,,,,,"Kho, nhà xưởng tọa lạc tại An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh với diện tích 250m², là cơ hội không thể bỏ qua cho các nhà đầu tư.- Giá bán: 18 tỷ VND.- Pháp lý đầy đủ.- Diện tích rộng rãi, phù hợp cho nhiều mục đích sử dụng.- Khu vực giao thông thuận lợi, dễ dàng kết nối với các khu vực lân cận.Nằm gần các tiện ích như công viên Vành Đai Phường 10, siêu thị Mẹ và Bé Con Cưng, Bách Hóa Xanh, Bệnh viện Triều An, Bệnh viện Hỗ Trợ Sinh Sản & Nam Học Sài Gòn, và nhiều trường học như Trường THCS Bình Tân, Toán Tư Duy Mathnasium Kinh Dương Vương và Trường Cao Đẳng Quốc Tế TP.HCM.Liên hệ ngay để được tư vấn miễn phí qua số điện thoại  - Trần Thanh Tùng.Xem thêm",,,False,0,Môi giới,Trần Thanh Tùng,2.0,tp-ho-chi-minh,kho-nha-xuong,2025-09-30 21:33:00,31/08/2025 21:33
"Bán bán  đất thổ cư 76.7m² , giá 2.3 tỷ tại, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",2300.0,76.7,"Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",106134.0,3 giờ trước,Đất,5.0,15.0,,,,Trong hẻm,,3.0,Đường bê tông,Liên hệ: 0812.027.462,10.95989,106.673324,False,1,Môi giới,Gia Phát,2190.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 18:55:57,30/09/2025 15:55
"(S487) Đất mặt Mương gần đường An Nhơn Tây, xã An Nhơn Tây, DT 727m2 chỉ 750tr",750.0,727.0,"Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",1036784.0,1 ngày trước,Đất,15.0,48.0,,,,,,1.0,Đường đất,"Chủ gửi:- Đất góc 2 mặt tiền Mương, xã An Nhơn Tây, cách đườmh An Nhơn Tây khoảng 300m.- Diện tích : 727m2 = 25m x48m, đất HNK quy hoạch NKH- Giá chỉ : 750tr bớt lộc (S487)- LH: 0902 660617 zalo",11.075069042737,106.45587243107,False,1,Môi giới,Loan (Số chứng chỉ : HCM-0007228),1126.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:15:37,29/09/2025 19:15
"Bán căn nhà xưởng hẻm 8m mã lò, 8x17m 133m2 đất ở cấp 4 hẻm nhựa 8m thông giá 9.7 tỷ tl nhẹ",9700.0,133.0,"Đường Mã Lò,Phường Bình Trị Đông A,Quận Bình Tân,TP. Hồ Chí Minh",1302909.0,2 tuần trước,"Kho, nhà xưởng",8.0,17.0,,,,Trong hẻm,Đông,8.0,Đường nhựa,"Bán căn nhà xưởng hẻm 8m Mã Lò, BTĐA, Bình Tân.Diện tích 8x17m 133m² đất ở.Hiện trạng cấp 4.Hẻm nhựa 8m thông tứ tung.Giá: 9.7 tỷ thương lượng nhẹ.Hướng Đông.LH/ Tiên .Xem thêm",,,False,0,Môi giới,Thủy Tiên,7.0,tp-ho-chi-minh,kho-nha-xuong,2025-09-30 21:31:57,16/09/2025 21:31
"2 căn penthouse tản đà court q. 5 | 219m2/căn | sổ hồng. căn góc, view đẹp",25000.0,219.0,"Đường Tản Đà,Phường 11,Quận 5,TP. Hồ Chí Minh",1296435.0,2 tháng trước,Căn hộ chung cư,,,4.0,3.0,,,,,,"Bán 2 căn Penthouse Tản Đà Court, Q. 5, HCM.Penthouse: 4 phòng ngủ + phòng giúp việc + 1 kho + 3 WC.Diện tích: 219m² | Căn góc đẹp nhất Tản Đà Court.Nội thất: Như hình.Căn 1 hướng: Đông & Nam | View Q. 1 & Q. 8.Căn 2 hướng: Tây & Nam | View Chợ Lớn & Q. 8.Pháp lý: Sổ hồng.Giá: 25 tỷ/căn.Xem thêm",,,False,1,Môi giới,Huy Nguyễn,13.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 21:19:36,01/08/2025 21:19
"Bán nhà, 4 tầng, tỉnh lộ 10 sát tên lửa, gần aeon bình tân, hẻm 6m, 4x17 giá chỉ hơn 6 tỷ",6900.0,68.0,"Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",1540242.0,6 ngày trước,Nhà riêng,4.0,17.0,4.0,5.0,3.0,Trong hẻm,,6.0,,"Bán nhà, 4 tầng, tỉnh lộ 10 sát Tên Lửa, gần AEON Bình Tân, hẻm 6m, 4x17 giá chỉ hơn 6 tỷMô tả:357- Vị trí đẹp ....giáp ranh khu tên lửa , di chuyển tới Aeon mall Tên lửa mất chưa tới 2p * Diện tích 4 x 17 ( sổ vuông không lỗi lầm )- Kết cấu 1 trệt 2 lầu sân thượng . Có 4 phòng ngủ và 5 wc .... sân thượng . Phòng thờ * Hẻm trước nhà 6m .... khu dân trí cao hẻm đẹp không ngập úng.- Pháp lý chuẩn sổ hồng hoàn công đủ - sang tên nhanhXem thêm",,,False,0,Môi giới,Trần Phú Quí,12.0,tp-ho-chi-minh,nha-mat-pho-mat-tien,2025-09-30 18:49:41,24/09/2025 18:49
"(B434) Đất đường Láng The (1/ Tỉnh Lộ 8 vào 50m) , Tân Thạnh Tây, dt 310m2, giá 6 tỷ 500",6500.0,310.0,"Đường Láng The,Xã Phú Hòa Đông,TP. Hồ Chí Minh(Mới)",1124131.0,1 ngày trước,Đất,8.0,39.0,,,,,,12.0,Đường nhựa,"Chủ gửi:- Đất mặt tiền Láng The (1/ Tỉnh Lộ 8 vào 50m), xã Tân Thạnh Tây- Diện tích: 310m2 = 5m x 39m, thổ cư 270m2, đất ở hiện hữu.- Giá: 6 tỷ 500 còn TL (B434)- LH: 090 266 0617 zaloP/S: Loan nhận hỗ trợ pháp lý sang tên, chuyển mục đích sử dụng đất.",10.985423032421,106.56455033996,False,1,Môi giới,Loan (Số chứng chỉ : HCM-0007228),1126.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:15:19,29/09/2025 19:15
BÁN LÔ ĐẤT MẶT TIỀN NHỰA TÂN HIỆP 39 – GIÁ CHỈ 21 TỶ,21000.0,2950.0,"Đường Tân Hiệp 39+40,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",1286384.0,1 tuần trước,Đất,30.0,,,,,Đường chính,,,Đường nhựa,"BÁN LÔ ĐẤT MẶT TIỀN NHỰA TÂN HIỆP 39 – GIÁ CHỈ 21 TỶ📌 Tân Hiệp, Hóc Môn – Diện tích lớn, đất sạch 100%📍 Vị trí đắc địa:Mặt tiền đường nhựa Tân Hiệp 39, xã Tân Hiệp, Hóc MônGiao thông kết nối nhanh QL22, Dương Công Khi, vành đai 3Khu vực dân cư phát triển mạnh, gần trường học, cụm nhà xưởng📐 Diện tích: 2.950m²Gồm:1.930m² đất trồng cây lâu năm1.020m² đất lúaQuy hoạch 100% đất ở đô thị, chuyển mục đích dễ, thích hợp đầu tư dài hạn hoặc phân lô✅ Tiềm năng sử dụng:Làm nhà vườn, kho xưởng, phân lô bán nềnĐầu tư giữ tài sản sinh lời cao khi hạ tầng khu vực hoàn thiện💰 Giá bán: 21 TỶ – còn thương lượng chính chủ📞 Liên hệ ngay: 0896.00.00.12Ms38",10.902207,106.59345,False,1,Môi giới,Địa Ốc An Phú,134.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:45:01,23/09/2025 19:45
